
Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
31464015,09/04/2015 12:00:00 AM,09/18/2015 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Mixed Use Building,10006,,,,,TRINITY PLACE,RECTOR STREET,INTERSECTION,NEW YORK,,N/A,Closed,10/04/2015 03:01:02 PM,09/18/2015 12:00:00 AM,01 MANHATTAN,MANHATTAN,980656,197137,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.70777155363643,-74.01296309970473,"(40.70777155363643, -74.01296309970473)"
31464024,09/04/2015 12:00:00 AM,10/28/2015 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Commercial Building,10306,2270 HYLAN BOULEVARD,HYLAN BOULEVARD,,,,,LATLONG,STATEN ISLAND,,N/A,Closed,10/04/2015 10:02:58 AM,10/28/2015 12:00:00 AM,Unspecified STATEN ISLAND,STATEN ISLAND,955207,148858,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.575209242947444,-74.1045465185469,"(40.575209242947444, -74.1045465185469)"
31464025,09/04/2015 12:00:00 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,10310,758 POST AVENUE,POST AVENUE,CARY AVENUE,GREENLEAF AVENUE,,,ADDRESS,STATEN ISLAND,,N/A,Assigned,10/04/2015 11:58:02 AM,09/04/2015 12:03:49 PM,01 STATEN ISLAND,STATEN ISLAND,949033,169278,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.63123555151668,-74.12687759748677,"(40.63123555151668, -74.12687759748677)"
31464026,09/04/2015 12:00:00 AM,09/14/2015 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11206,198 SCHOLES STREET,SCHOLES STREET,HUMBOLDT STREET,BUSHWICK AVENUE,,,ADDRESS,BROOKLYN,,N/A,Closed,10/04/2015 06:56:34 AM,09/14/2015 12:00:00 AM,01 BROOKLYN,BROOKLYN,1000550,197585,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.70898692345805,-73.94120690238431,"(40.70898692345805, -73.94120690238431)"
31464027,09/04/2015 12:00:00 AM,09/22/2015 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Mixed Use Building,10462,2138 WALLACE AVENUE,WALLACE AVENUE,BRADY AVENUE,LYDIG AVENUE,,,ADDRESS,BRONX,,N/A,Closed,10/04/2015 10:08:27 AM,09/22/2015 12:00:00 AM,11 BRONX,BRONX,1021648,250489,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.85413014360452,-73.86481331044513,"(40.85413014360452, -73.86481331044513)"
31464188,09/04/2015 12:00:00 AM,09/22/2015 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11231,179 LUQUER STREET,LUQUER STREET,CLINTON STREET,COURT STREET,,,ADDRESS,BROOKLYN,,N/A,Closed,10/04/2015 07:59:34 PM,09/22/2015 12:00:00 AM,06 BROOKLYN,BROOKLYN,984607,186007,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.67722299833378,-73.99871293635606,"(40.67722299833378, -73.99871293635606)"
31464195,09/04/2015 12:00:00 AM,09/22/2015 04:26:36 PM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11354,33-38 PARSONS BOULEVARD,PARSONS BOULEVARD,33 AVENUE,34 AVENUE,,,ADDRESS,Flushing,,N/A,Closed,10/04/2015 11:42:10 AM,09/22/2015 04:26:36 PM,07 QUEENS,QUEENS,1032971,218993,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.767627333732726,-73.82411151243869,"(40.767627333732726, -73.82411151243869)"
31464199,09/04/2015 12:00:00 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Mixed Use Building,11205,143 CLASSON AVENUE,CLASSON AVENUE,PARK AVENUE,MYRTLE AVENUE,,,ADDRESS,BROOKLYN,,N/A,Assigned,10/04/2015 11:55:26 AM,09/04/2015 11:59:22 AM,03 BROOKLYN,BROOKLYN,994926,192806,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.69587826384473,-73.96149989735699,"(40.69587826384473, -73.96149989735699)"
31464220,09/04/2015 12:00:00 AM,08/19/2015 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Public Stairs,10010,,,,,PARK AVENUE SOUTH,EAST 23 STREET,INTERSECTION,NEW YORK,,N/A,Pending,10/04/2015 10:48:16 AM,09/04/2015 10:51:20 AM,05 MANHATTAN,MANHATTAN,988029,208946,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.74018431877025,-73.986362997997,"(40.74018431877025, -73.986362997997)"
31464802,09/04/2015 12:00:00 AM,09/25/2015 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,10303,30 ANDROS AVENUE,ANDROS AVENUE,RICHMOND TERRACE,CHRISTOPHER STREET,,,ADDRESS,STATEN ISLAND,,N/A,Closed,10/04/2015 07:51:16 AM,09/25/2015 12:00:00 AM,01 STATEN ISLAND,STATEN ISLAND,939187,171503,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.637298077884196,-74.16236493414125,"(40.637298077884196, -74.16236493414125)"
